"student_num";"time";"area"
"154185";"2015";"湖南"
"224145";"2015";"广东"
"76807";"2015";"广西"
"25013";"2015";"海南"
"99729";"2015";"重庆"
"175724";"2015";"四川"
"57994";"2015";"贵州"
"89104";"2015";"云南"
"5060";"2015";"西藏"
"167256";"2015";"陕西"
"67158";"2015";"甘肃"
"7384";"2015";"青海"
"15487";"2015";"宁夏"
"31080";"2015";"新疆"
"120007";"2016";"北京"
"79590";"2016";"天津"
"163600";"2016";"河北"
"101534";"2016";"山西"
"55088";"2016";"内蒙"
"165851";"2016";"辽宁"
"113696";"2016";"吉林"
"127314";"2016";"黑龙江"
"87670";"2016";"上海"
"244215";"2016";"江苏"
"146241";"2016";"浙江"
"147112";"2016";"安徽"
"112010";"2016";"福建"
"121461";"2016";"江西"
"236551";"2016";"山东"
"242816";"2016";"河南"
"216203";"2016";"湖北"
"162337";"2016";"湖南"
"233592";"2016";"广东"
"82517";"2016";"广西"
"25305";"2016";"海南"
"109317";"2016";"重庆"
"182477";"2016";"四川"
"64230";"2016";"贵州"
"85795";"2016";"云南"
"5203";"2016";"西藏"
"183804";"2016";"陕西"
"70621";"2016";"甘肃"
"8031";"2016";"青海"
"16845";"2016";"宁夏"
"32647";"2016";"新疆"
"121362";"2017";"北京"
"79010";"2017";"天津"
"170408";"2017";"河北"
"113275";"2017";"山西"
"57501";"2017";"内蒙"
"174113";"2017";"辽宁"
"114984";"2017";"吉林"
"125363";"2017";"黑龙江"
"86945";"2017";"上海"
"252892";"2017";"江苏"
"146131";"2017";"浙江"
"152059";"2017";"安徽"
"121774";"2017";"福建"
"122575";"2017";"江西"
"245517";"2017";"山东"
"253804";"2017";"河南"
"212847";"2017";"湖北"
"162286";"2017";"湖南"
"245563";"2017";"广东"
"88932";"2017";"广西"
"24871";"2017";"海南"
"104704";"2017";"重庆"
"184269";"2017";"四川"
"75025";"2017";"贵州"
"96365";"2017";"云南"
"5493";"2017";"西藏"
"172708";"2017";"陕西"
"70242";"2017";"甘肃"
"7937";"2017";"青海"
"17205";"2017";"宁夏"
"35679";"2017";"新疆"
"120258";"2018";"北京"
"78461";"2018";"天津"
"171447";"2018";"河北"
"117525";"2018";"山西"
"58014";"2018";"内蒙"
"177461";"2018";"辽宁"
"113143";"2018";"吉林"
"124946";"2018";"黑龙江"
"85832";"2018";"上海"
"260106";"2018";"江苏"
"149271";"2018";"浙江"
"154074";"2018";"安徽"
"120998";"2018";"福建"
"126875";"2018";"江西"
