"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"603963.SH";"603963";"大理药业";"云南";"化学制药";"大理药业股份有限公司";"Dali Pharmaceutical Co., Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603966.SH";"603966";"法兰泰克";"江苏";"机械基件";"法兰泰克重工股份有限公司";"Eurocrane(China) Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603967.SH";"603967";"中创物流";"山东";"仓储物流";"中创物流股份有限公司";"China Master Logistics Co., Ltd.";"主板";"SSE";"CNY";"L";"2019";"";"N";"3"
"603968.SH";"603968";"醋化股份";"江苏";"化工原料";"南通醋酸化工股份有限公司";"Nantong Acetic Acid Chemical Co.,Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"603969.SH";"603969";"银龙股份";"天津";"其他建材";"天津银龙预应力材料股份有限公司";"Silvery Dragon Prestressed Materials Co., Ltd.Tianjin";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"603970.SH";"603970";"中农立华";"北京";"农药化肥";"中农立华生物科技股份有限公司";"Sino-Agri Leading  Biosciences Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603976.SH";"603976";"正川股份";"重庆";"医疗保健";"重庆正川医药包装材料股份有限公司";"ChongQing Zhengchuan Pharmaceutical Packaging Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603977.SH";"603977";"国泰集团";"江西";"化工原料";"江西国泰集团股份有限公司";"Jiangxi Guotai Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603978.SH";"603978";"深圳新星";"广东";"小金属";"深圳市新星轻合金材料股份有限公司";"Shenzhen Sunxing Light Alloys Materials Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603979.SH";"603979";"金诚信";"北京";"建筑工程";"金诚信矿业管理股份有限公司";"JCHX Mining Management Co.,Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"603980.SH";"603980";"吉华集团";"浙江";"染料涂料";"浙江吉华集团股份有限公司";"Zhejiang Jihua Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
