"education_val";"time";"province"
"0.12199327716418562";"2019";"安徽"
"0.12268155490036176";"2018";"安徽"
"0.09521700620017715";"2017";"安徽"
"0.09370524873918187";"2016";"安徽"
"0.11728270779087102";"2015";"安徽"
"0.10486132079541043";"2014";"安徽"
"0.09153528241236798";"2013";"安徽"
"0.1025434957318795";"2012";"安徽"
"0.06837062060466993";"2011";"安徽"
"0.06577513940726107";"2010";"安徽"
"0.04659519437698671";"2009";"安徽"
"0.04009951989426011";"2008";"安徽"
"0.039339615414081056";"2007";"安徽"
"0.0472133005856792";"2006";"安徽"
"0.03845852983330262";"2005";"安徽"
"0.044284961140116666";"2004";"安徽"
"0.04912328348581807";"2003";"安徽"
"0.02642272966861068";"2002";"安徽"
"0.5048593025471638";"2019";"北京"
"0.4865496375292074";"2018";"北京"
"0.4760965698577746";"2017";"北京"
"0.4546203164519734";"2016";"北京"
"0.4233504749457814";"2015";"北京"
"0.3815070121226527";"2014";"北京"
"0.4120756984079303";"2013";"北京"
"0.3735027664619687";"2012";"北京"
"0.33939724698320295";"2011";"北京"
"0.3119634492480873";"2010";"北京"
"0.30771900596973484";"2009";"北京"
"0.2812191336249471";"2008";"北京"
"0.3012728832951945";"2007";"北京"
"0.2935579925920546";"2006";"北京"
"0.2448793229227779";"2005";"北京"
"0.23890462700661";"2004";"北京"
"0.20286870172857668";"2003";"北京"
"0.20492484326610771";"2002";"北京"
"0.11208683129017528";"2019";"福建"
"0.13338940285954584";"2018";"福建"
"0.1507592560996417";"2017";"福建"
"0.11523174346537321";"2016";"福建"
"0.13001990838844618";"2015";"福建"
"0.11687094198118121";"2014";"福建"
"0.08894615866824546";"2013";"福建"
"0.07818602882720957";"2012";"福建"
"0.12129726801855174";"2011";"福建"
"0.07907662813852787";"2010";"福建"
"0.09795562120245728";"2009";"福建"
"0.058617499339148824";"2008";"福建"
"0.056711945014495585";"2007";"福建"
"0.05832791151594014";"2006";"福建"
"0.04982826479109346";"2005";"福建"
"0.045606368034961764";"2004";"福建"
"0.0466457835809323";"2003";"福建"
"0.04197500155462969";"2002";"福建"
"0.11927710843373494";"2019";"甘肃"
"0.1259255553331999";"2018";"甘肃"
"0.13900054587861643";"2017";"甘肃"
"0.10716556615309367";"2016";"甘肃"
"0.12519185551788398";"2015";"甘肃"
"0.10313250600480384";"2014";"甘肃"
"0.09020735583472075";"2013";"甘肃"
"0.0890192958026656";"2012";"甘肃"
"0.08838273227235119";"2011";"甘肃"
"0.06976531038467679";"2010";"甘肃"
"0.04785928551949823";"2009";"甘肃"
"0.04487467433294403";"2008";"甘肃"
"0.03829447743994327";"2007";"甘肃"
"0.03302346170872067";"2006";"甘肃"
"0.04260776919255512";"2005";"甘肃"
"0.05670276168891127";"2004";"甘肃"
"0.044372023063424415";"2003";"甘肃"
"0.03050392313179205";"2002";"甘肃"
"0.1438987646881591";"2019";"广东"
"0.12408292348297231";"2018";"广东"
"0.14036164487040273";"2017";"广东"
"0.13830311854217547";"2016";"广东"
"0.11985751809393266";"2015";"广东"
"0.09378390569188945";"2014";"广东"
"0.08195612611283262";"2013";"广东"
"0.09761881597509364";"2012";"广东"
"0.10574223836202262";"2011";"广东"
"0.07991450755797674";"2010";"广东"
"0.06868792602838736";"2009";"广东"
"0.0703538175046555";"2008";"广东"
"0.06456292622442654";"2007";"广东"
"0.057028881045881594";"2006";"广东"
"0.05810662053782041";"2005";"广东"
"0.05185205615467358";"2004";"广东"
"0.05067567567567568";"2003";"广东"
"0.051502684610557146";"2002";"广东"
"0.09456345480925152";"2019";"广西"
"0.07069909311255754";"2018";"广西"
"0.0765432772306937";"2017";"广西"
"0.07985078661404552";"2016";"广西"
"0.0920778616773261";"2015";"广西"
"0.08006393897753723";"2014";"广西"
"0.0769881079862481";"2013";"广西"
"0.06482876225664345";"2012";"广西"
"0.0879986683681962";"2011";"广西"
"0.0655341417252386";"2010";"广西"
"0.0409963146524336";"2009";"广西"
