"roa_val";"time";"ts_code"
"-0.00916";"2011";"000151"
"0.026474";"2012";"000151"
"0.037169";"2013";"000151"
"0.038599";"2014";"000151"
"0.055603";"2015";"000151"
"0.048767";"2016";"000151"
"0.041003";"2017";"000151"
"0.038664";"2018";"000151"
"0.003658";"2019";"000151"
"-0.16106";"2020";"000151"
"0.013039";"2008";"000153"
"0.019666";"2009";"000153"
"0.031726";"2010";"000153"
"0.007528";"2011";"000153"
"0.012473";"2012";"000153"
"0.013724";"2013";"000153"
"0.018376";"2014";"000153"
"0.01365";"2015";"000153"
"0.018355";"2016";"000153"
"0.023611";"2017";"000153"
"0.020182";"2018";"000153"
"0.022646";"2019";"000153"
"0.028078";"2020";"000153"
"0.049711";"2008";"000155"
"0.022693";"2009";"000155"
"-0.064762";"2010";"000155"
"-0.071629";"2011";"000155"
"0.000493";"2012";"000155"
"-0.242736";"2013";"000155"
"-1.219885";"2014";"000155"
"-0.987166";"2015";"000155"
"0.294072";"2016";"000155"
"0.056232";"2017";"000155"
"0.056845";"2018";"000155"
"0.045464";"2019";"000155"
"0.031802";"2020";"000155"
"0.056401";"2008";"000156"
"0.24177";"2009";"000156"
"0.620472";"2010";"000156"
"0.367666";"2011";"000156"
"0.051362";"2012";"000156"
"0.05024";"2013";"000156"
"0.069064";"2014";"000156"
"0.042018";"2015";"000156"
"0.0428";"2016";"000156"
"0.044465";"2017";"000156"
"0.0437";"2018";"000156"
"0.041055";"2019";"000156"
"0.040601";"2020";"000156"
"0.0692";"2008";"000157"
"0.071321";"2009";"000157"
"0.07283";"2010";"000157"
"0.114182";"2011";"000157"
"0.084619";"2012";"000157"
"0.044137";"2013";"000157"
"0.006697";"2014";"000157"
"0.000973";"2015";"000157"
"-0.01015";"2016";"000157"
"0.015009";"2017";"000157"
"0.020936";"2018";"000157"
"0.046434";"2019";"000157"
"0.063257";"2020";"000157"
"0.026812";"2008";"000158"
"0.01755";"2009";"000158"
"0.011574";"2010";"000158"
"0.010809";"2011";"000158"
"0.002047";"2012";"000158"
"0.003039";"2013";"000158"
"0.004369";"2014";"000158"
"0.022731";"2015";"000158"
"0.0271";"2016";"000158"
"0.027761";"2017";"000158"
"0.012935";"2018";"000158"
"0.006726";"2019";"000158"
"0.007191";"2020";"000158"
"0.080464";"2008";"000159"
"0.065441";"2009";"000159"
"0.200271";"2010";"000159"
"0.104777";"2011";"000159"
"0.033897";"2012";"000159"
"0.011767";"2013";"000159"
"0.044666";"2014";"000159"
"0.020371";"2015";"000159"
"0.011509";"2016";"000159"
"-0.023415";"2017";"000159"
"0.018187";"2018";"000159"
"0.009251";"2019";"000159"
"0.031723";"2020";"000159"
"0.02513";"2014";"000166"
"0.037259";"2015";"000166"
"0.020067";"2016";"000166"
"0.015755";"2017";"000166"
"0.012216";"2018";"000166"
"0.014936";"2019";"000166"
"0.016037";"2020";"000166"
"0.043756";"2008";"000301"
"0.023398";"2009";"000301"
"0.01913";"2010";"000301"
"0.030952";"2011";"000301"
"0.044544";"2012";"000301"
"0.090166";"2013";"000301"
"0.05637";"2014";"000301"
"0.037859";"2015";"000301"
"0.029632";"2016";"000301"
