"assets";"ts_code";"time"
"1565865589.96";"000023";"2016"
"1474001953.01";"000023";"2015"
"1344913499.77";"000023";"2014"
"1219044947.72";"000023";"2013"
"1093571442.65";"000023";"2012"
"938521333.55";"000023";"2011"
"1075220289.79";"000023";"2010"
"974456850.96";"000023";"2009"
"1658295531";"000025";"2019"
"1403314594.42";"000025";"2018"
"1189001074.98";"000025";"2017"
"1168667927.49";"000025";"2016"
"806324777.8";"000025";"2015"
"700998151.85";"000025";"2014"
"644911292";"000025";"2013"
"570693268.15";"000025";"2012"
"599555953.28";"000025";"2011"
"611487117.65";"000025";"2010"
"614544088.77";"000025";"2009"
"3599691650.26";"000026";"2019"
"3579789692.9";"000026";"2018"
"4004897562.72";"000026";"2017"
"4246670045.02";"000026";"2016"
"3657781647.2";"000026";"2015"
"3558702591.28";"000026";"2014"
"3326763824.86";"000026";"2013"
"2895775774.19";"000026";"2012"
"2436539054.39";"000026";"2011"
"1523936983.79";"000026";"2010"
"1441187545.35";"000026";"2009"
"85073895248.88";"000027";"2019"
"77230930147.81";"000027";"2018"
"60862186184.77";"000027";"2017"
"58067427403.34";"000027";"2016"
"38441387696.52";"000027";"2015"
"33393505287.47";"000027";"2014"
"32359212807.99";"000027";"2013"
"31509083747.48";"000027";"2012"
"29069959284.39";"000027";"2011"
"30249838683.72";"000027";"2010"
"29384857108.54";"000027";"2009"
"28930300519.97";"000028";"2019"
"22343643527.77";"000028";"2018"
"21312754511.97";"000028";"2017"
"13218349735.31";"000028";"2016"
"12828941540.9";"000028";"2015"
"11057896941.31";"000028";"2014"
"9295839939.64";"000028";"2013"
"7665759761.04";"000028";"2012"
"6306793005.81";"000028";"2011"
"5233489407.09";"000028";"2010"
"3683974196.77";"000028";"2009"
"4665891514.25";"000029";"2019"
"3989263981.96";"000029";"2018"
"3785600783.23";"000029";"2017"
"4179937120.75";"000029";"2016"
"4375098314.05";"000029";"2015"
"4215099296.67";"000029";"2014"
"3712770828.3";"000029";"2013"
"3236127046.06";"000029";"2012"
"3379090178.02";"000029";"2011"
"3361110324.04";"000029";"2010"
"2265656678.91";"000029";"2009"
"11682128691.55";"000030";"2019"
"10364348492.24";"000030";"2018"
"9072987293.6";"000030";"2017"
"8085376947.33";"000030";"2016"
"7271114435";"000030";"2015"
"7110347411.96";"000030";"2014"
"24606158.49";"000030";"2013"
"66169347.65";"000030";"2012"
"73920089.84";"000030";"2011"
"41891434.31";"000030";"2010"
"17961177.93";"000030";"2009"
"91171929971.51";"000031";"2019"
"75751475786.87";"000031";"2018"
"61276950060.49";"000031";"2017"
"55321650992.89";"000031";"2016"
"46311473255.99";"000031";"2015"
"40602717174.27";"000031";"2014"
"34999026330.67";"000031";"2013"
"32602592973.24";"000031";"2012"
"20173630451.12";"000031";"2011"
"13287262534.44";"000031";"2010"
"9047606756.39";"000031";"2009"
"2153380723.23";"000032";"2019"
"1927338865.54";"000032";"2018"
"1955415046.82";"000032";"2017"
"2125737187.65";"000032";"2016"
"1424272124.09";"000032";"2015"
"1501408866.53";"000032";"2014"
"1692009584";"000032";"2013"
"1574218095.35";"000032";"2012"
"1489448926.88";"000032";"2011"
"1438267290.09";"000032";"2010"
"1360245228.69";"000032";"2009"
"25985451950.06";"000034";"2019"
"24273190387.85";"000034";"2018"
"17037169575.96";"000034";"2017"
"448008298.67";"000034";"2016"
"461668045.26";"000034";"2015"
"378211289.87";"000034";"2014"
"193552086.24";"000034";"2013"
"207619257.17";"000034";"2012"
"188887579.65";"000034";"2011"
"150792439.15";"000034";"2010"
"184408591.81";"000034";"2009"
"8808911186.25";"000035";"2019"
"8130264343.09";"000035";"2018"
"5998494257.39";"000035";"2017"
"4399024386.49";"000035";"2016"
"3272286230.68";"000035";"2015"
"10441933.09";"000035";"2014"
"307902946.69";"000035";"2013"
"636493899.27";"000035";"2012"
"595209862.21";"000035";"2011"
"549475668.6";"000035";"2010"
"536280797.3";"000035";"2009"
"10893040699.04";"000036";"2019"
"8718661474.28";"000036";"2018"
"9725476321.94";"000036";"2017"
"6463740837.81";"000036";"2016"
"4568926337.34";"000036";"2015"
"4195887407.95";"000036";"2014"
"4267243630.88";"000036";"2013"
"3862281776.98";"000036";"2012"
"4175156268.4";"000036";"2011"
"3118011964.33";"000036";"2010"
"3069139694.57";"000036";"2009"
"3307148289.92";"000037";"2019"
"2883804392.7";"000037";"2018"
"4363703614.03";"000037";"2017"
"4579853736.04";"000037";"2016"
"5056415825.14";"000037";"2015"
"5440291369.21";"000037";"2014"
"5536067729.98";"000037";"2013"
"5452746682.91";"000037";"2012"
"5278954349.9";"000037";"2011"
"4926596324.59";"000037";"2010"
"4985939525.71";"000037";"2009"
"3033786538.94";"000038";"2019"
"5771928314.43";"000038";"2018"
"6393623559.44";"000038";"2017"
"744777535.46";"000038";"2016"
"683292590.38";"000038";"2015"
"680915598.25";"000038";"2014"
"610156264.42";"000038";"2013"
"630464661.29";"000038";"2012"
"517799621.08";"000038";"2011"
"476293615.67";"000038";"2010"
"307607536.9";"000038";"2009"
"158883963000";"000039";"2019"
"130604379000";"000039";"2018"
"124614748000";"000039";"2017"
"106763171000";"000039";"2016"
"87776181000";"000039";"2015"
"72605972000";"000039";"2014"
"62992380000";"000039";"2013"
"64361714000";"000039";"2012"
"54130649000";"000039";"2011"
"37358383000";"000039";"2010"
"34557863000";"000039";"2009"
