"tuobinQ";"ts_code";"time"
"1.504594";"000021";"2017"
"1.105505";"000021";"2018"
"1.585456";"000021";"2019"
"2.023132";"000022";"2009"
"1.77497";"000022";"2010"
"1.221818";"000022";"2011"
"1.263979";"000022";"2012"
"1.634265";"000022";"2013"
"2.125243";"000022";"2014"
"1.880876";"000022";"2015"
"1.790195";"000022";"2016"
"1.643781";"000023";"2009"
"1.6475";"000023";"2010"
"1.3105";"000023";"2011"
"1.309076";"000023";"2012"
"1.504383";"000023";"2013"
"2.208724";"000023";"2014"
"3.610814";"000023";"2016"
"2.214308";"000023";"2017"
"1.541537";"000023";"2018"
"1.484918";"000023";"2019"
"1.231498";"000024";"2009"
"1.04216";"000024";"2010"
"1.023142";"000024";"2011"
"1.086386";"000024";"2012"
"0.984305";"000024";"2013"
"1.061857";"000024";"2014"
"4.206815";"000025";"2009"
"3.672616";"000025";"2010"
"2.573297";"000025";"2011"
"2.528865";"000025";"2012"
"3.151959";"000025";"2013"
"3.168399";"000025";"2014"
"13.802735";"000025";"2015"
"9.713609";"000025";"2016"
"5.948919";"000025";"2017"
"4.765515";"000025";"2018"
"5.361456";"000025";"2019"
"1.636163";"000026";"2009"
"1.557775";"000026";"2010"
"1.487629";"000026";"2011"
"1.235958";"000026";"2012"
"1.340686";"000026";"2013"
"1.563195";"000026";"2014"
"1.80954";"000026";"2015"
"1.666988";"000026";"2016"
"1.572505";"000026";"2017"
"1.104039";"000026";"2018"
"1.475902";"000026";"2019"
"1.127426";"000027";"2009"
"1.054306";"000027";"2010"
"0.974652";"000027";"2011"
"0.946113";"000027";"2012"
"0.953276";"000027";"2013"
"1.086225";"000027";"2014"
"1.087571";"000027";"2015"
"1.039571";"000027";"2016"
"0.990965";"000027";"2017"
"0.921597";"000027";"2018"
"0.90672";"000027";"2019"
"2.233795";"000028";"2009"
"2.216179";"000028";"2010"
"1.547462";"000028";"2011"
"1.811703";"000028";"2012"
"1.907587";"000028";"2013"
"1.68908";"000028";"2014"
"1.506959";"000028";"2016"
"1.532144";"000028";"2017"
"1.077137";"000028";"2018"
"1.068656";"000028";"2019"
"2.659089";"000029";"2009"
"1.951957";"000029";"2010"
"1.522344";"000029";"2011"
"1.654773";"000029";"2012"
"1.447015";"000029";"2013"
"2.017437";"000029";"2014"
"3.390563";"000029";"2015"
"29.037542";"000030";"2009"
"14.2736";"000030";"2011"
"69.244256";"000030";"2012"
"1.078463";"000030";"2013"
"1.374812";"000030";"2014"
"1.432196";"000030";"2015"
"1.558749";"000030";"2016"
"1.389338";"000030";"2017"
"0.96114";"000030";"2018"
"1.083214";"000030";"2019"
"2.046494";"000031";"2009"
"1.25619";"000031";"2010"
"0.993079";"000031";"2011"
"1.009551";"000031";"2012"
"0.944796";"000031";"2013"
"1.101035";"000031";"2014"
"1.260241";"000031";"2015"
"1.079817";"000031";"2016"
"0.946159";"000031";"2018"
"0.963801";"000031";"2019"
"1.845229";"000032";"2009"
"1.992175";"000032";"2010"
"1.298166";"000032";"2011"
"1.384929";"000032";"2012"
"1.668534";"000032";"2013"
"1.386462";"000032";"2014"
"3.334727";"000032";"2015"
"2.610539";"000032";"2016"
"1.919901";"000032";"2017"
"1.434843";"000032";"2018"
"2.788759";"000032";"2019"
"5.160685";"000033";"2009"
"3.847561";"000033";"2010"
"2.741642";"000033";"2011"
"3.423127";"000033";"2012"
"2.769416";"000033";"2013"
"14.818738";"000034";"2009"
"9.710549";"000034";"2010"
"7.013941";"000034";"2011"
"7.730029";"000034";"2012"
"4.51891";"000034";"2013"
"5.697509";"000034";"2014"
"21.818693";"000034";"2015"
"1.383818";"000034";"2016"
"1.104271";"000034";"2018"
"1.215227";"000034";"2019"
"3.366078";"000035";"2009"
"3.107971";"000035";"2010"
"192.705074";"000035";"2013"
"1.578621";"000035";"2014"
"2.13405";"000035";"2015"
"1.770504";"000035";"2016"
"1.401734";"000035";"2018"
"1.041515";"000035";"2019"
"2.798382";"000036";"2009"
"1.536975";"000036";"2010"
"1.123517";"000036";"2011"
"1.349479";"000036";"2012"
"1.166904";"000036";"2013"
"1.571051";"000036";"2014"
"2.150614";"000036";"2015"
"1.56665";"000036";"2016"
"1.597434";"000036";"2017"
"1.077579";"000036";"2018"
"1.061536";"000036";"2019"
"1.280214";"000037";"2009"
"1.101915";"000037";"2010"
"0.957894";"000037";"2011"
"1.040049";"000037";"2012"
"1.026743";"000037";"2013"
"1.390525";"000037";"2014"
"2.130878";"000037";"2015"
"1.688046";"000037";"2016"
"1.41933";"000037";"2017"
"1.061353";"000037";"2018"
"2.008369";"000037";"2019"
"1.380163";"000038";"2013"
"1.638945";"000038";"2014"
"3.801106";"000038";"2015"
"1.181163";"000038";"2016"
"1.142704";"000038";"2017"
"1.458241";"000038";"2018"
"1.523644";"000038";"2019"
"1.337282";"000039";"2009"
"1.572971";"000039";"2010"
"1.070476";"000039";"2011"
"1.063007";"000039";"2012"
"1.095966";"000039";"2013"
"1.165232";"000039";"2014"
"1.107196";"000039";"2015"
"1.014993";"000039";"2016"
"1.080975";"000039";"2017"
"0.944346";"000039";"2018"
"0.951001";"000039";"2019"
"1.771797";"000040";"2009"
"1.606906";"000040";"2010"
"1.332113";"000040";"2011"
"1.420679";"000040";"2012"
"1.17623";"000040";"2013"
"1.420799";"000040";"2014"
"1.830975";"000040";"2015"
"1.109931";"000040";"2016"
"1.191191";"000040";"2017"
"0.920839";"000040";"2018"
"0.831874";"000040";"2019"
"1.505118";"000042";"2009"
"1.260534";"000042";"2010"
"1.106861";"000042";"2011"
"1.254177";"000042";"2012"
"1.38289";"000042";"2013"
"1.249439";"000042";"2014"
"1.242402";"000042";"2015"
"1.065735";"000042";"2017"
"0.995526";"000042";"2018"
"0.98251";"000042";"2019"
"1.099479";"000043";"2009"
"1.03601";"000043";"2010"
"0.882828";"000043";"2011"
"1.060534";"000043";"2012"
"0.996371";"000043";"2013"
"1.090086";"000043";"2014"
"1.145417";"000043";"2015"
"1.15866";"000043";"2016"
"1.09821";"000043";"2017"
"1.007824";"000043";"2018"
"4.079427";"000045";"2009"
"2.548659";"000045";"2010"
"1.673957";"000045";"2011"
"1.31927";"000045";"2012"
"1.351451";"000045";"2013"
"1.739263";"000045";"2014"
"2.39025";"000045";"2015"
"1.798372";"000045";"2016"
"1.289855";"000045";"2017"
"0.865684";"000045";"2018"
"0.942106";"000045";"2019"
"1.201978";"000046";"2009"
"1.106674";"000046";"2010"
"1.475744";"000046";"2011"
"1.504569";"000046";"2012"
"1.264752";"000046";"2013"
"1.458606";"000046";"2014"
"1.354508";"000046";"2015"
"1.12197";"000046";"2016"
"1.05884";"000046";"2017"
"0.980811";"000046";"2018"
"0.947008";"000046";"2019"
"3.171418";"000048";"2009"
"3.604558";"000048";"2010"
"3.088916";"000048";"2011"
"2.719812";"000048";"2012"
"3.818369";"000048";"2013"
"2.728403";"000048";"2014"
"7.759979";"000048";"2015"
"2.800864";"000048";"2017"
"2.115084";"000048";"2018"
"1.977623";"000048";"2019"
"2.025893";"000049";"2009"
"4.905204";"000049";"2010"
"2.704572";"000049";"2011"
"2.997919";"000049";"2012"
"3.655826";"000049";"2013"
"2.125728";"000049";"2014"
"4.072949";"000049";"2015"
"2.385675";"000049";"2016"
"1.828235";"000049";"2017"
"1.410535";"000049";"2018"
"1.630247";"000049";"2019"
"1.144391";"000050";"2009"
"1.41608";"000050";"2010"
"1.081074";"000050";"2011"
"1.190441";"000050";"2012"
"1.400826";"000050";"2013"
"1.4243";"000050";"2014"
"1.4144";"000050";"2015"
"1.443139";"000050";"2017"
"0.932635";"000050";"2018"
"1.09082";"000050";"2019"
"2.48905";"000055";"2009"
"2.139666";"000055";"2010"
"1.491884";"000055";"2011"
"1.594024";"000055";"2012"
"1.751156";"000055";"2013"
"2.172919";"000055";"2014"
"2.509633";"000055";"2015"
"1.843025";"000055";"2016"
"1.376095";"000055";"2017"
"0.903842";"000055";"2018"
"0.943638";"000055";"2019"
"2.028277";"000056";"2009"
"2.353046";"000056";"2010"
"2.804351";"000056";"2011"
"2.424556";"000056";"2012"
"0.972776";"000056";"2013"
"0.983125";"000056";"2014"
"1.482679";"000056";"2015"
"1.222029";"000056";"2016"
"0.93299";"000056";"2018"
"0.903192";"000056";"2019"
"3.322677";"000058";"2009"
"2.52962";"000058";"2010"
"1.757266";"000058";"2012"
"1.823373";"000058";"2013"
"2.074369";"000058";"2014"
"3.068062";"000058";"2016"
"1.444148";"000058";"2017"
"1.312704";"000058";"2018"
"1.473676";"000058";"2019"
"1.275377";"000059";"2009"
"1.225886";"000059";"2010"
"1.055279";"000059";"2011"
"1.024028";"000059";"2012"
"0.956381";"000059";"2013"
