"edu";"ts_code";"time"
"2.6666666666666665";"000017.SZ";"2014"
"2";"000017.SZ";"2015"
"2";"000017.SZ";"2016"
"2.4615384615384617";"000017.SZ";"2017"
"2.4615384615384617";"000017.SZ";"2018"
"2.4615384615384617";"000017.SZ";"2019"
"2.4615384615384617";"000017.SZ";"2020"
"2.723404255319149";"000019.SZ";"2009"
"2";"000019.SZ";"2010"
"2.1";"000019.SZ";"2011"
"2.7333333333333334";"000019.SZ";"2012"
"2.7333333333333334";"000019.SZ";"2013"
"3";"000019.SZ";"2014"
"2.3636363636363638";"000019.SZ";"2015"
"2.3636363636363638";"000019.SZ";"2016"
"3";"000019.SZ";"2017"
"3";"000019.SZ";"2018"
"3.0697674418604652";"000019.SZ";"2019"
"3.0697674418604652";"000019.SZ";"2020"
"3.0476190476190474";"000020.SZ";"2009"
"3.1153846153846154";"000020.SZ";"2010"
"3";"000020.SZ";"2011"
"2";"000020.SZ";"2012"
"1.1";"000020.SZ";"2013"
"3.5555555555555554";"000020.SZ";"2014"
"2.5";"000020.SZ";"2015"
"3.0833333333333335";"000020.SZ";"2016"
"3";"000020.SZ";"2017"
"3";"000020.SZ";"2018"
"3.4";"000020.SZ";"2019"
"3.4";"000020.SZ";"2020"
"2.5";"000021.SZ";"2009"
"2.5789473684210527";"000021.SZ";"2010"
"3";"000021.SZ";"2011"
"2.142857142857143";"000021.SZ";"2012"
"3.3333333333333335";"000021.SZ";"2013"
"2.5";"000021.SZ";"2014"
"2.5";"000021.SZ";"2015"
"2.55";"000021.SZ";"2016"
"2.3333333333333335";"000021.SZ";"2017"
"2.3333333333333335";"000021.SZ";"2018"
"3";"000021.SZ";"2019"
"3";"000021.SZ";"2020"
"2";"000023.SZ";"2009"
"1.9655172413793103";"000023.SZ";"2010"
"2.1666666666666665";"000023.SZ";"2011"
"2";"000023.SZ";"2012"
"1.7777777777777777";"000023.SZ";"2013"
"2.2";"000023.SZ";"2014"
"2";"000023.SZ";"2015"
"2";"000023.SZ";"2016"
"2";"000023.SZ";"2017"
"2";"000023.SZ";"2018"
"2.289473684210526";"000023.SZ";"2019"
"2.289473684210526";"000023.SZ";"2020"
"2.48";"000025.SZ";"2009"
"2.25";"000025.SZ";"2010"
"3";"000025.SZ";"2011"
"2.5";"000025.SZ";"2012"
"3";"000025.SZ";"2013"
"2.8181818181818183";"000025.SZ";"2014"
"2.6818181818181817";"000025.SZ";"2015"
"2.6818181818181817";"000025.SZ";"2016"
"2";"000025.SZ";"2017"
"2.793103448275862";"000025.SZ";"2018"
"2.793103448275862";"000025.SZ";"2019"
"2.793103448275862";"000025.SZ";"2020"
"2.6206896551724137";"000026.SZ";"2009"
"2.7857142857142856";"000026.SZ";"2010"
"2.7857142857142856";"000026.SZ";"2011"
"2.933333333333333";"000026.SZ";"2012"
"2.933333333333333";"000026.SZ";"2013"
"3.411764705882353";"000026.SZ";"2014"
"3";"000026.SZ";"2015"
"3.142857142857143";"000026.SZ";"2016"
"3.217391304347826";"000026.SZ";"2017"
"3.2941176470588234";"000026.SZ";"2018"
"2";"000026.SZ";"2019"
"2";"000026.SZ";"2020"
"2.34375";"000027.SZ";"2009"
"2.625";"000027.SZ";"2010"
"2.6";"000027.SZ";"2011"
"3";"000027.SZ";"2012"
"2";"000027.SZ";"2013"
"3";"000027.SZ";"2014"
"2.3333333333333335";"000027.SZ";"2015"
"2.6153846153846154";"000027.SZ";"2016"
"2.9";"000027.SZ";"2017"
"2.5";"000027.SZ";"2018"
"2.2857142857142856";"000027.SZ";"2019"
"2.2857142857142856";"000027.SZ";"2020"
"2.65";"000028.SZ";"2009"
"3.1";"000028.SZ";"2010"
"3.0344827586206895";"000028.SZ";"2011"
"2.6666666666666665";"000028.SZ";"2012"
"2.6666666666666665";"000028.SZ";"2013"
"3";"000028.SZ";"2014"
"3";"000028.SZ";"2015"
"3";"000028.SZ";"2016"
"1.9090909090909092";"000028.SZ";"2017"
"3.1904761904761907";"000028.SZ";"2018"
"2.8333333333333335";"000028.SZ";"2019"
"2.8333333333333335";"000028.SZ";"2020"
"2.076923076923077";"000029.SZ";"2009"
"2.5555555555555554";"000029.SZ";"2010"
"2.5555555555555554";"000029.SZ";"2011"
"0.6";"000029.SZ";"2012"
"3";"000029.SZ";"2013"
"3";"000029.SZ";"2014"
"3";"000029.SZ";"2015"
"2";"000029.SZ";"2016"
"2";"000029.SZ";"2017"
"2.1666666666666665";"000029.SZ";"2018"
"2.1666666666666665";"000029.SZ";"2019"
"2.1666666666666665";"000029.SZ";"2020"
"1.7619047619047619";"000030.SZ";"2009"
"2.25";"000030.SZ";"2010"
"2";"000030.SZ";"2011"
"2";"000030.SZ";"2012"
"2.1951219512195124";"000030.SZ";"2013"
"3";"000030.SZ";"2014"
"2.5";"000030.SZ";"2015"
"2.6";"000030.SZ";"2016"
"2.375";"000030.SZ";"2017"
"3.0416666666666665";"000030.SZ";"2018"
"3";"000030.SZ";"2019"
"3";"000030.SZ";"2020"
"2.6666666666666665";"000031.SZ";"2009"
"2.727272727272727";"000031.SZ";"2010"
"2.5217391304347827";"000031.SZ";"2011"
"3";"000031.SZ";"2012"
"3.8";"000031.SZ";"2013"
"2.6666666666666665";"000031.SZ";"2014"
"2.6666666666666665";"000031.SZ";"2015"
"3.2222222222222223";"000031.SZ";"2016"
"2.5384615384615383";"000031.SZ";"2017"
"3.5714285714285716";"000031.SZ";"2018"
"3";"000031.SZ";"2019"
"3";"000031.SZ";"2020"
"2.35";"000032.SZ";"2009"
"2.3823529411764706";"000032.SZ";"2010"
"3";"000032.SZ";"2011"
"3";"000032.SZ";"2012"
"2.388888888888889";"000032.SZ";"2013"
"2.9166666666666665";"000032.SZ";"2014"
"2.9166666666666665";"000032.SZ";"2015"
"3.125";"000032.SZ";"2016"
"1.6521739130434783";"000032.SZ";"2017"
"1.6521739130434783";"000032.SZ";"2018"
"3";"000032.SZ";"2019"
"3";"000032.SZ";"2020"
"2.347826086956522";"000034.SZ";"2009"
"2.5";"000034.SZ";"2010"
"3.5";"000034.SZ";"2011"
"3.272727272727273";"000034.SZ";"2012"
"2.3333333333333335";"000034.SZ";"2013"
"2.6363636363636362";"000034.SZ";"2014"
"2.5";"000034.SZ";"2015"
"2.945945945945946";"000034.SZ";"2016"
"3.2";"000034.SZ";"2017"
"2.9411764705882355";"000034.SZ";"2018"
"2.857142857142857";"000034.SZ";"2019"
"2.857142857142857";"000034.SZ";"2020"
"2.5";"000035.SZ";"2009"
"2.4444444444444446";"000035.SZ";"2010"
"2.2";"000035.SZ";"2011"
"2";"000035.SZ";"2012"
"2";"000035.SZ";"2013"
"2.789473684210526";"000035.SZ";"2014"
"1.8";"000035.SZ";"2015"
"3.4285714285714284";"000035.SZ";"2016"
"3.4";"000035.SZ";"2017"
"3.4";"000035.SZ";"2018"
"3.4";"000035.SZ";"2019"
"3.4";"000035.SZ";"2020"
"1.7391304347826086";"000036.SZ";"2009"
"1.5714285714285714";"000036.SZ";"2010"
"1.5714285714285714";"000036.SZ";"2011"
"2";"000036.SZ";"2012"
"2.347826086956522";"000036.SZ";"2013"
"2";"000036.SZ";"2014"
"2.111111111111111";"000036.SZ";"2015"
"2.4444444444444446";"000036.SZ";"2016"
"2.4444444444444446";"000036.SZ";"2017"
"2.4444444444444446";"000036.SZ";"2018"
"2.4642857142857144";"000036.SZ";"2019"
"2";"000036.SZ";"2020"
"2.6666666666666665";"000037.SZ";"2009"
"2.6666666666666665";"000037.SZ";"2010"
"2.642857142857143";"000037.SZ";"2011"
"1.9230769230769231";"000037.SZ";"2012"
"2";"000037.SZ";"2013"
"2.1333333333333333";"000037.SZ";"2014"
"2.6470588235294117";"000037.SZ";"2015"
"2";"000037.SZ";"2016"
"2.689655172413793";"000037.SZ";"2017"
"2.689655172413793";"000037.SZ";"2018"
"3.142857142857143";"000037.SZ";"2019"
"2";"000037.SZ";"2020"
"2.6";"000038.SZ";"2009"
"1";"000038.SZ";"2010"
"2.6666666666666665";"000038.SZ";"2011"
"2.6666666666666665";"000038.SZ";"2012"
"2.607142857142857";"000038.SZ";"2013"
"2.6666666666666665";"000038.SZ";"2014"
"2.4";"000038.SZ";"2015"
"2.392857142857143";"000038.SZ";"2016"
"2.75";"000038.SZ";"2017"
"2.6363636363636362";"000038.SZ";"2018"
"2.75";"000038.SZ";"2019"
"3";"000038.SZ";"2020"
"2.76";"000039.SZ";"2009"
"3.1666666666666665";"000039.SZ";"2010"
"4";"000039.SZ";"2011"
"2.75";"000039.SZ";"2012"
"2.1363636363636362";"000039.SZ";"2013"
"4";"000039.SZ";"2014"
"3.375";"000039.SZ";"2015"
"2.7058823529411766";"000039.SZ";"2016"
"3";"000039.SZ";"2017"
"2.3333333333333335";"000039.SZ";"2018"
"2.875";"000039.SZ";"2019"
"2.875";"000039.SZ";"2020"
"2";"000040.SZ";"2009"
"2";"000040.SZ";"2010"
"1.5";"000040.SZ";"2011"
