"ts_code";"ann_date";"ann_type";"title";"pub_time";"src_url"
"000001.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-03-12 06:30:00";"http://static.cninfo.com.cn/finalpage/2016-06-01/1202347815.PDF"
"000001.SZ";"2010";"年度报告";"2010年年度报告";"2011-02-25 06:32:00";"http://static.cninfo.com.cn/finalpage/2011-02-25/59043233.PDF"
"000001.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-03-09 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-09/60645660.PDF"
"000001.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-08 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-08/62193048.PDF"
"000001.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-07 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-07/63646348.PDF"
"000001.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-03-13 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-13/1200694562.PDF"
"000001.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-10/1202033390.PDF"
"000001.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-03-17 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-17/1203167521.PDF"
"000002.SZ";"2009";"年度报告";"2009年年度报告";"2010-03-02 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-02/57640037.PDF"
"000002.SZ";"2010";"年度报告";"2010年年度报告";"2011-03-08 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-08/59091433.PDF"
"000002.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-03-13 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-13/60660531.PDF"
"000002.SZ";"2012";"年度报告";"2012年年度报告";"2013-02-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-02-28/62162993.PDF"
"000002.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-07 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-07/63646577.PDF"
"000002.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-31/1200767944.PDF"
"000002.SZ";"2015";"年度报告";"2015年年度报告（更新后）";"2017-04-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-18/1203314633.PDF"
"000002.SZ";"2016";"年度报告";"2016年年度报告";"2017-03-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-27/1203197044.PDF"
"000002.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-03-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-27/1204519142.PDF"
"000002.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-03-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-26/1205937908.PDF"
"000004.SZ";"2009";"年度报告";"2009年年度报告（已取消）";"2010-04-17 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-17/57825926.PDF"
"000004.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-04-23 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-23/59323950.PDF"
"000004.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-21 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-21/60871508.PDF"
"000004.SZ";"2012";"年度报告";"2012年年度报告";"2013-04-20 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-20/62392061.PDF"
"000004.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-22 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-22/63889879.PDF"
"000004.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-30/1202281263.PDF"
"000004.SZ";"2016";"年度报告";"2016年年度报告（更新后）";"2017-05-17 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-05-17/1203525398.PDF"
"000004.SZ";"2017";"年度报告";"2017年年度报告";"2018-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-28/1204824070.PDF"
"000004.SZ";"2019";"年度报告";"2019年年度报告摘要";"2020-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-28/1207642202.PDF"
"000005.SZ";"2009";"年度报告";"2009年年度报告";"2010-04-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-30/57897928.PDF"
"000005.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-30/59371397.PDF"
"000005.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-24 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-24/60889819.PDF"
"000005.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-04-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-26/63926074.PDF"
"000005.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-11 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-11/1200809475.PDF"
"000005.SZ";"2015";"年度报告";"2015年年度报告";"2016-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-27/1202251997.PDF"
"000005.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-27/1203404403.PDF"
"000005.SZ";"2017";"年度报告";"2017年年度报告";"2018-04-21 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-21/1204678072.PDF"
"000005.SZ";"2018";"年度报告";"2018年年度报告（更新后）";"2019-06-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-06-27/1206400486.PDF"
"000005.SZ";"2019";"年度报告";"2019年年度报告";"2020-05-23 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-05-23/1207852350.PDF"
"000006.SZ";"2009";"年度报告";"2009年年度报告";"2010-03-17 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-17/57695646.PDF"
"000006.SZ";"2010";"年度报告";"2010年年度报告";"2011-03-31 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-31/59206399.PDF"
"000006.SZ";"2012";"年度报告";"2012年年度报告";"2013-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-30/62301964.PDF"
"000006.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-01 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-01/1200773722.PDF"
"000006.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-30/1202100061.PDF"
"000006.SZ";"2016";"年度报告";"2016年年度报告";"2017-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-30/1203224890.PDF"
"000006.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-30/1204543187.PDF"
"000006.SZ";"2018";"年度报告";"2018年年度报告";"2019-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-30/1205963603.PDF"
"000006.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-09 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-09/1207467581.PDF"
"000007.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-04-21 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-21/57842833.PDF"
"000007.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-23 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-23/59323151.PDF"
"000007.SZ";"2012";"年度报告";"2012年年度报告";"2013-04-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-25/62423832.PDF"
"000007.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-24/1204704392.PDF"
"000007.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-30/1206164318.PDF"
"000007.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-29/1207665267.PDF"
"000008.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-03-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-27/57736830.PDF"
"000008.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-03-03 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-03/60618056.PDF"
"000008.SZ";"2015";"年度报告";"2015年年度报告";"2016-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-27/1202251546.PDF"
"000008.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-04-01 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-01/1203247142.PDF"
"000008.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-24/1207586671.PDF"
"000009.SZ";"2009";"年度报告";"2009年年度报告";"2010-03-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-27/57736149.PDF"
"000009.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-03-23 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-23/59159889.PDF"
"000009.SZ";"2011";"年度报告";"2011年年度报告";"2012-04-26 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-26/60912401.PDF"
"000009.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-27/62438923.PDF"
"000009.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-26/63927712.PDF"
"000009.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-29/1200933720.PDF"
"000009.SZ";"2015";"年度报告";"2015年年度报告";"2016-04-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-29/1202265513.PDF"
"000009.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-27/1203404719.PDF"
"000009.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-28/1204826887.PDF"
"000009.SZ";"2018";"年度报告";"2018年年度报告";"2019-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-30/1206164272.PDF"
"000009.SZ";"2019";"年度报告";"2019年年度报告摘要";"2020-04-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-29/1207665322.PDF"
"000010.SZ";"2010";"年度报告";"2010年年度报告（已取消）";"2011-04-29 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-29/59362598.PDF"
"000010.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-27/60922343.PDF"
"000010.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-25/63916508.PDF"
"000010.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-30/1207684619.PDF"
"000011.SZ";"2009";"年度报告";"2009年年度报告";"2010-02-09 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-02-09/57594487.PDF"
"000011.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-04-26 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-26/59336144.PDF"
"000011.SZ";"2011";"年度报告";"2011年年度报告";"2012-03-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-30/60761668.PDF"
"000011.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-30/62303847.PDF"
"000011.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-01 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-01/63765386.PDF"
"000011.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-01 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-01/1200773705.PDF"
"000011.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-31/1202109373.PDF"
"000011.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-31/1203237554.PDF"
"000011.SZ";"2017";"年度报告";"2017年年度报告";"2018-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-30/1204544478.PDF"
"000011.SZ";"2018";"年度报告";"2018年年度报告";"2019-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-30/1205965137.PDF"
"000011.SZ";"2019";"年度报告";"2019年年度报告摘要";"2020-03-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-03-18/1207380446.PDF"
"000012.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-03-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-30/57747067.PDF"
"000012.SZ";"2010";"年度报告";"2010年年度报告";"2011-03-22 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-22/59153444.PDF"
"000012.SZ";"2011";"年度报告";"2011年年度报告";"2012-03-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-27/60730811.PDF"
"000012.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-26/62272316.PDF"
"000012.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-25/63718884.PDF"
"000012.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-31/1200767877.PDF"
"000012.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-03-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-25/1202077505.PDF"
"000012.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-28/1203415339.PDF"
"000012.SZ";"2017";"年度报告";"2017年年度报告（更新后）";"2018-08-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-08-25/1205326844.PDF"
"000012.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-17 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-17/1206041637.PDF"
"000012.SZ";"2019";"年度报告";"2019年年度报告摘要";"2020-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-30/1207683740.PDF"
"000014.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-03-20 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-20/57709220.PDF"
"000014.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-25 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-25/59324084.PDF"
"000014.SZ";"2011";"年度报告";"2011年年度报告";"2012-03-23 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-23/60712629.PDF"
"000014.SZ";"2012";"年度报告";"2012年年度报告";"2013-03-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-29/62296492.PDF"
"000014.SZ";"2013";"年度报告";"2013年年度报告";"2014-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-31/63749904.PDF"
"000014.SZ";"2014";"年度报告";"2014年年度报告";"2015-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-31/1200769264.PDF"
"000014.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-31/1202109458.PDF"
"000014.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-30/1203223767.PDF"
"000014.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-03-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-29/1204529757.PDF"
"000014.SZ";"2018";"年度报告";"2018年年度报告";"2019-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-30/1205963476.PDF"
"000014.SZ";"2019";"年度报告";"2019年年度报告";"2020-03-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-03-27/1207409910.PDF"
"000016.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-04-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-30/57897900.PDF"
"000016.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-27/60921189.PDF"
"000016.SZ";"2012";"年度报告";"2012年年度报告";"2013-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-27/62438049.PDF"
"000016.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-04 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-04/63788613.PDF"
"000016.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-04-03 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-03/1200782521.PDF"
"000016.SZ";"2015";"年度报告";"2015年年度报告";"2016-04-08 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-08/1202150039.PDF"
"000016.SZ";"2016";"年度报告";"2016年年度报告";"2017-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-31/1203237063.PDF"
"000016.SZ";"2017";"年度报告";"2017年年度报告";"2018-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-31/1204553590.PDF"
"000016.SZ";"2018";"年度报告";"2018年年度报告";"2019-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-30/1205967768.PDF"
"000016.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-22 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-22/1207552471.PDF"
"000017.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-04-27 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-27/59345963.PDF"
"000017.SZ";"2011";"年度报告";"2011年年度报告";"2012-04-21 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-21/60872915.PDF"
"000017.SZ";"2013";"年度报告";"2013年年度报告（更新后）";"2014-05-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-05-10/64008618.PDF"
"000017.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-03 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-03/1200784431.PDF"
"000017.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-04-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-25/1202230564.PDF"
"000017.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-27/1203405888.PDF"
"000017.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-04-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-18/1204648144.PDF"
"000017.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-20 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-20/1206060784.PDF"
"000017.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-28/1207641565.PDF"
"000019.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-04-22 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-22/57848993.PDF"
"000019.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-29 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-29/59362493.PDF"
"000019.SZ";"2011";"年度报告";"2011年年度报告";"2012-04-07 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-07/60795648.PDF"
"000019.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-24/62414836.PDF"
"000019.SZ";"2013";"年度报告";"2013年年度报告";"2014-03-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-18/63688676.PDF"
"000019.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-21 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-21/1200876437.PDF"
"000019.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-04-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-26/1202242830.PDF"
"000019.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-24/1203359661.PDF"
"000019.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-27/1206121596.PDF"
"000019.SZ";"2019";"年度报告";"2019年年度报告摘要";"2020-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-28/1207642474.PDF"
"000020.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-19 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-19/59288953.PDF"
"000020.SZ";"2011";"年度报告";"2011年年度报告";"2012-04-14 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-14/60830163.PDF"
"000020.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-24/62415833.PDF"
"000020.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-28/1200920932.PDF"
"000020.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-30/1202283782.PDF"
"000020.SZ";"2016";"年度报告";"2016年年度报告";"2017-04-25 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-25/1203374601.PDF"
"000020.SZ";"2017";"年度报告";"2017年年度报告";"2018-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-24/1204699520.PDF"
"000020.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-30/1207680694.PDF"
"000021.SZ";"2009";"年度报告";"2009年年度报告";"2010-04-24 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-24/57864405.PDF"
"000021.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-03-31 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-31/59206091.PDF"
"000021.SZ";"2011";"年度报告";"2011年年度报告";"2012-03-30 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-30/60761410.PDF"
"000021.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-29/62297090.PDF"
"000021.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-31/63755249.PDF"
"000021.SZ";"2014";"年度报告";"2014年年度报告";"2015-03-30 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-30/1200753764.PDF"
"000021.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-31/1202111411.PDF"
"000021.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-31/1203236429.PDF"
"000021.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-04-12 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-12/1204616396.PDF"
"000021.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-20 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-20/1206057663.PDF"
"000021.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-24 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-24/1207586104.PDF"
"000023.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-04-20 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-20/57835183.PDF"
"000023.SZ";"2010";"年度报告";"2010年年度报告";"2011-04-06 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-06/59220427.PDF"
"000023.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-24 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-24/60888816.PDF"
"000023.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-29/62294367.PDF"
"000023.SZ";"2013";"年度报告";"2013年年度报告";"2014-04-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-28/63928604.PDF"
"000023.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-02-13 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-02-13/1200633225.PDF"
"000023.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-03-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-10/1202033340.PDF"
"000023.SZ";"2016";"年度报告";"2016年年度报告";"2017-03-14 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-14/1203154242.PDF"
"000023.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-04-20 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-20/1204664150.PDF"
"000023.SZ";"2018";"年度报告";"2018年年度报告";"2019-04-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-18/1206046639.PDF"
"000023.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-29 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-29/1207659090.PDF"
"000025.SZ";"2009";"年度报告";"2009年年度报告";"2010-04-19 06:30:30";"http://static.cninfo.com.cn/finalpage/2010-04-19/57826497.PDF"
"000025.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-04-15 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-15/59270872.PDF"
"000025.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-14 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-14/60830525.PDF"
"000025.SZ";"2012";"年度报告";"2012年年度报告";"2013-04-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-04-10/62340213.PDF"
"000025.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-04-01 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-04-01/63764704.PDF"
"000025.SZ";"2014";"年度报告";"2014年年度报告";"2015-04-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-04-10/1200806309.PDF"
"000025.SZ";"2015";"年度报告";"2015年年度报告摘要";"2016-04-15 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-04-15/1202180939.PDF"
"000025.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-04-08 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-08/1203262542.PDF"
"000025.SZ";"2017";"年度报告";"2017年年度报告";"2018-04-03 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-04-03/1204576054.PDF"
"000025.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-04-02 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-04-02/1205982992.PDF"
"000025.SZ";"2019";"年度报告";"2019年年度报告";"2020-04-03 00:00:00";"http://static.cninfo.com.cn/finalpage/2020-04-03/1207453170.PDF"
"000026.SZ";"2009";"年度报告";"2009年年度报告";"2010-03-15 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-15/57684138.PDF"
